Policlinic,Message
Diş Hekimliği,Dişimi soğuk ya da sıcak yiyeceklerle hissediyorum
Diş Hekimliği,Dişlerim sararmış
Diş Hekimliği,Diş eti kanaması yaşıyorum
Diş Hekimliği,Dişimde kırık
Diş Hekimliği,Ağzımda kötü koku
Diş Hekimliği,Dişim sızlıyor
Diş Hekimliği,Dişlerimde gevşeme hissediyorum
Diş Hekimliği,Dişimde çatlak
Diş Hekimliği,Ağzımda yaralar
Diş Hekimliği,Dişlerim kötü kokuyor
Diş Hekimliği,Dişlerimde hassasiyet
Diş Hekimliği,Diş etlerim kanıyor
Diş Hekimliği,Dişlerim sararmış
Diş Hekimliği,Dişim ağrıyor
Diş Hekimliği,Diş etlerimde şişlik
Diş Hekimliği,Dişimde boşluk
Diş Hekimliği,Dişimde acı hissediyorum
Diş Hekimliği,Diş etlerimde kanama oluyor
Diş Hekimliği,Ağzımda kötü tat
Diş Hekimliği,Dişim ağrıyor
Diş Hekimliği,Dişimde hassasiyet hissediyorum
Diş Hekimliği,Dişlerimde şişlik
Diş Hekimliği,Dişim çatladı
Diş Hekimliği,Diş etim şişti
Diş Hekimliği,Dişimde iltihap
Diş Hekimliği,Ağzımda yara oluştu
Diş Hekimliği,Dişlerimde etrafında şişlik
Diş Hekimliği,Dişimde soğuk hissediyorum
Diş Hekimliği,Ağzımda kanama oluyor
Diş Hekimliği,Dişlerim sızlıyor
Diş Hekimliği,Dişimde dondurma yerken ağrı hissediyorum
Diş Hekimliği,Diş etim ağrıyor
Diş Hekimliği,Ağzımda kötü koku
Diş Hekimliği,Dişimde sıcak yemek yerken acı hissediyorum
Diş Hekimliği,Diş etlerim iltihaplı
Diş Hekimliği,Dişimde soğuk yiyecekleri hissediyorum
Diş Hekimliği,Dişimde ağrı şiddetli
Diş Hekimliği,Dişimde büyük bir çürük
Diş Hekimliği,Diş etlerimde kanama oluyor
Diş Hekimliği,Dişimde yara
Diş Hekimliği,Dişim kırıldı
Diş Hekimliği,Dişimde dolgulu alan ağrıyor
Diş Hekimliği,Diş etimde şişlik
Diş Hekimliği,Dişimde yoğun ağrı
Diş Hekimliği,Ağzımda iltihap
Diş Hekimliği,Dişlerim lekelenmiş
Diş Hekimliği,Diş etlerimde iltihap
Diş Hekimliği,Dişimde büyük bir ağrı
Diş Hekimliği,Diş etim kanıyor
Diş Hekimliği,Dişimde çatlama
Diş Hekimliği,Diş etim iltihaplı
Diş Hekimliği,Dişimde sıcak içeceklerle ağrı
Diş Hekimliği,Dişimdeki çürük büyüdü
Diş Hekimliği,Diş etlerim ağrıyor
Diş Hekimliği,Dişimde kırılma hissi
Diş Hekimliği,Dişimde iltihap
Diş Hekimliği,Dişlerimle ilgili rahatsızlık hissediyorum
Diş Hekimliği,Ağzımda iltihap oluştu
Diş Hekimliği,Diş etlerim kanıyor
Diş Hekimliği,Dişimde sızı
Diş Hekimliği,Dişimde iltihaplı bölge
Diş Hekimliği,Dişlerimde duyarlılık hissediyorum
Diş Hekimliği,Dişimde yaralanma
Diş Hekimliği,Dişimde sertlik
Diş Hekimliği,Dişlerim kırık
Diş Hekimliği,Ağzımda acı
Diş Hekimliği,Dişimde uyuşma hissediyorum
Diş Hekimliği,Diş etim kanıyor
Diş Hekimliği,Dişim sızlıyor
Diş Hekimliği,Dişimde çatlama hissediyorum
Diş Hekimliği,Diş etim şişti
Diş Hekimliği,Dişimde dolgudan dolayı rahatsızlık
Diş Hekimliği,Dişimde boşluk
Diş Hekimliği,Dişimde hassasiyet hissediyorum
Diş Hekimliği,Dişim ağrıyor
Diş Hekimliği,Dişlerim hassas
Diş Hekimliği,Dişimde ağrı
Diş Hekimliği,Diş etlerimde kanama
Diş Hekimliği,Dişimde çatlak
Diş Hekimliği,Dişim sızlıyor
Diş Hekimliği,Dişlerim ağrıyor
Diş Hekimliği,Dişimde bir çürük
Diş Hekimliği,Dişlerim sararmış
Diş Hekimliği,Dişimde aşırı hassasiyet
Diş Hekimliği,Diş etlerimde şişlik
Diş Hekimliği,Dişimde hassasiyet artıyor
Diş Hekimliği,Dişimde sıcak soğuk acı yapıyor
Diş Hekimliği,Dişlerim ağrıyor
Diş Hekimliği,Dişimde sertlik hissediyorum
KBB,Kulaklarımda ağrı
KBB,Boğazımda kaşıntı hissediyorum
KBB,Burun tıkanıklığım
KBB,Kulaklarımda uğultu
KBB,Boğazımda yanma hissediyorum
KBB,Burun akıntım çok fazla
KBB,Kulaklarımda basınç hissediyorum
KBB,Boğazımda iltihap olduğunu düşünüyorum
KBB,Burun kanamam oluyor
KBB,Kulaklarımda ağrı ve basınç
KBB,Boğazımda şişlik
KBB,Burunumdan kötü kokular geliyor
KBB,Kulaklarımda duyma kaybı yaşadım
KBB,Boğazımda sürekli gıcık
KBB,Burnumda kaşıntı hissediyorum
KBB,Kulaklarımda ses kaybı oldu
KBB,Boğazımda tıkanıklık hissediyorum
KBB,Burun tıkanıklığı uykusuzluğa neden oluyor
KBB,Kulaklarımda ağrı devam ediyor
KBB,Boğazımda iltihap
KBB,Burnumdan kanama oldu
KBB,Kulaklarımda sürekli kaşınma
KBB,Boğazımda kuru hissettim
KBB,Burun kanaması sıklaşıyor
KBB,Kulaklarımda baskı
KBB,Boğazımda şişlik hissediyorum
KBB,Burnumda tıkanıklık
KBB,Kulaklarımda sızı
KBB,Boğazımda ağrı devam ediyor
KBB,Burnumda iltihap
KBB,Kulaklarımda geçmeyen bir ağrı
KBB,Boğazımda gıcık hissediyorum
KBB,Burnumda enfeksiyon
KBB,Kulaklarımda duyma zorluğu
KBB,Boğazımda şişlik ve ağrı
KBB,Burnum tıkanıyor
KBB,Kulaklarımda yankı hissediyorum
KBB,Boğazımda sürekli öksürük
KBB,Burnumda çok fazla akıntı
KBB,Kulaklarımda ağrı ve iltihap
KBB,Boğazımda batma hissediyorum
KBB,Burnumda kaşıntı
KBB,Kulaklarımda kulaklık takarken ağrı oluyor
KBB,Boğazımda balgam
KBB,Burnumda kuruluk hissediyorum
KBB,Kulaklarımda aşırı hassasiyet
KBB,Boğazımda sürekli ağrı oluyor
KBB,Burnumda kaşınma
KBB,Kulaklarımda uğuldamalar
KBB,Boğazımda yabancı cisim hissediyorum
KBB,Burunumda iltihap
KBB,Kulaklarımda ağrı ve basınç hissediyorum
KBB,Boğazımda ağrı çok şiddetli
KBB,Burnumda tıkanıklık nefes almakta zorlanıyorum
KBB,Kulaklarımda ses geliyor
KBB,Boğazımda iltihap oldu
KBB,Burnumda enfeksiyon belirtileri
KBB,Kulaklarımda kaşınma ve ağrı
KBB,Boğazımda şişlik yutkunmakta zorlanıyorum
KBB,Burnumdan kötü kokular geliyor
KBB,Kulaklarımda kulaklık kullanırken ağrı oldu
KBB,Boğazımda sızıntı
KBB,Burunum tıkalı ve zor nefes alıyorum
KBB,Kulaklarımda ses kaybı oldu
KBB,Boğazımda gıcık hissi
KBB,Burunumda kaşıntı oluyor
KBB,Kulaklarımda ağrı hissediyorum
KBB,Boğazımda gıdıklanma
KBB,Burnumda tıkanıklık şiddetli
KBB,Kulaklarımda geçmeyen bir ağrı
KBB,Boğazımda bir şey takılı kalmış gibi hissediyorum
KBB,Burnumda akıntı
KBB,Kulaklarımda uğuldamalar çok sık
KBB,Boğazımda şişlik ve ağrıyor
KBB,Burnumda çok fazla tıkanıklık
KBB,Kulaklarımda yoğun ağrı
KBB,Boğazımda batma hissediyorum
KBB,Burnumda şişlik
KBB,Kulaklarımda basınç hissediyorum
KBB,Boğazımda kuruluk
KBB,Burnumda tıkanıklık oluyor
KBB,Kulaklarımda aşırı hassasiyet
KBB,Boğazımda ağrı şiddetli
KBB,Burnumda kanama oldu
KBB,Kulaklarımda ağrı yapıyor
KBB,Boğazımda balgam birikiyor
KBB,Burnumda iltihap oldu
KBB,Kulaklarımda kaşınma oluyor
KBB,Boğazımda ağrı çok şiddetli
KBB,Burnumda enfeksiyon belirtisi
KBB,Kulaklarımda batma hissediyorum
KBB,Boğazımda şişlik iltihaplı
KBB,Burnumda tıkanıklık oluyor nefes almak zor
KBB,Kulaklarımda ağrı geçmiyor
KBB,Boğazımda öksürük oluyor
KBB,Burnumda aşırı akıntı
KBB,Kulaklarımda baskı
KBB,Boğazımda enfeksiyon belirtileri
KBB,Burunumda iltihap şişlik oluyor
KBB,Kulaklarımda çok fazla basınç hissediyorum
KBB,Boğazımda gıcık hissi
KBB,Burunumda çok fazla kaşıntı
KBB,Kulaklarımda uğuldamalar artmış
KBB,Boğazımda ağrı oluyor geçmiyor
KBB,Burunumda sürekli kanama oluyor
KBB,Kulaklarımda duyma kaybı oldu
KBB,Boğazımda sızı
KBB,Burnumda şişlik ve ağrı
KBB,Kulaklarımda tıkanıklık
Ortopedi,elim kırıldı
Ortopedi,Omzum çıktı galiba
Ortopedi,Kalçamda bir ağrı var
Ortopedi,Bacağım kırıldı
Ortopedi,Kolum çıktı
Ortopedi,Kolum kırıldı
Ortopedi,Bacaklarımda ağrı
Ortopedi,Kollarımda güçsüzlük hissediyorum
Ortopedi,Omzumda sertlik
Ortopedi,Belimde ağrı hissediyorum
Ortopedi,Dizimde şişlik
Ortopedi,Ayak parmaklarımda uyuşma
Ortopedi,Ellerimde ağrı hissediyorum
Ortopedi,Kollarımda kramp oluyor
Ortopedi,Belde sürekli yanma hissediyorum
Ortopedi,Dizimde ağrı yürürken zorlanıyorum
Ortopedi,Boynumda ağrı hissediyorum
Ortopedi,Sırtımda kasılma
Ortopedi,Ayaklarımda şişlik
Ortopedi,Kalçamda ağrı
Ortopedi,Belde hareket etmekte zorlanıyorum
Ortopedi,Omuzumda ağrı
Ortopedi,Dizimde sertlik hissediyorum
Ortopedi,Ellerimde güçsüzlük
Ortopedi,Ayaklarımda ağrı uzun süre ayakta durmak zor
Ortopedi,Boynumda ağrı dönmekte zorlanıyorum
Ortopedi,Omzumda hareket kısıtlılığı
Ortopedi,Kalçamda ağrı ve hareket zorluğu
Ortopedi,Kollarımda uyuşma
Ortopedi,Belimde zorlanma hissediyorum
Ortopedi,Ayak parmaklarımda hissizlik
Ortopedi,Dizimde ağrı basınca duyarlı
Ortopedi,Sırtımda sürekli ağrı
Ortopedi,Bacaklarımda şişlik oluyor
Ortopedi,Omuzlarımda gerginlik hissediyorum
Ortopedi,Ayaklarımda yorgunluk hissediyorum
Ortopedi,Kalçalarımda ağrı
Ortopedi,Boynumda sürekli sertlik
Ortopedi,Belde ağrı oturmakta zorlanıyorum
Ortopedi,Kollarımda titreme
Ortopedi,Dizlerimde ağrı ve şişlik
Ortopedi,Ayaklarımda kramp oluyor
Ortopedi,Omuzumda ağrı kolumu kaldırmakta zorlanıyorum
Ortopedi,Sırtımda sürekli gerginlik
Ortopedi,Kalçamda zorlanma hissediyorum
Ortopedi,Belde ağrı hissediyorum kalkmak zor
Ortopedi,Ellerimde uyuşma
Ortopedi,Ayaklarımda ağrı yürüyemiyorum
Ortopedi,Boynumda ağrı başımı çeviremiyorum
Ortopedi,Omuzlarımda sertlik hissediyorum
Ortopedi,Dizimde şişlik ağrı yapıyor
Ortopedi,Bacaklarımda ağrı gece uyanıyorum
Ortopedi,Sırtımda kasılma
Ortopedi,Ayaklarımda uyuşma
Ortopedi,Kalçamda ağrı oturmak zor
Ortopedi,Belimde sürekli ağrı
Ortopedi,Ellerimde ağrı ve uyuşma
Ortopedi,Belde ağrı oluyor hareket edemiyorum
Ortopedi,Ayaklarımda şişlik basınca duyarlı
Ortopedi,Omuzumda ağrı yavaş hareket ediyorum
Ortopedi,Kollarımda güç kaybı
Ortopedi,Dizimde takılma hissediyorum
Ortopedi,Boynumda gerginlik
Ortopedi,Sırtımda ağrı düz duramıyorum
Ortopedi,Ayak parmaklarımda uyuşma his kaybı yaşıyorum
Ortopedi,Omuzumda ağrı hareketim kısıtlı
Ortopedi,Bacaklarımda şişlik acı yapıyor
Ortopedi,Kalçamda sıkışma hissediyorum
Ortopedi,Belimde ağrı eğilmek zor
Ortopedi,Kollarımda ağrı özellikle dirsek bölgesinde
Ortopedi,Sırtımda ağrı derin nefes alırken zorlanıyorum
Ortopedi,Ayaklarımda ağrı yürüyemiyorum
Ortopedi,Boynumda ağrı özellikle gece
Ortopedi,Omuzumda kuvvet kaybı hissediyorum
Ortopedi,Dizimde şişlik hareket etmekte zorlanıyorum
Ortopedi,Ellerimde kuvvet kaybı
Ortopedi,Ayaklarımda şişlik adım atmak zor
Ortopedi,Kalçamda ağrı oturmakta zorlanıyorum
Ortopedi,Belde ağrı sabahları daha fazla
Ortopedi,Sırtımda sürekli sertlik
Ortopedi,Ayak parmaklarımda uyuşma zor hareket ediyorum
Ortopedi,Omuzumda batma hissi
Ortopedi,Dizimde iltihap şişlik yapıyor
Ortopedi,Bacaklarımda kramp oluyor
Ortopedi,Sırtımda ağrı sıklıkla oluyor
Ortopedi,Ayaklarımda şişlik ve ağrı
Ortopedi,Kalçamda ağrı merdiven çıkarken zorlanıyorum
Ortopedi,Boynumda sertlik hareketlerim kısıtlı
Ortopedi,Omuzumda ağrı gece daha fazla
Ortopedi,Dizimde şişlik yürürken acı veriyor
Ortopedi,Bacaklarımda ağrı özellikle gece
Ortopedi,Sırtımda sıkışma hissediyorum
Ortopedi,Ayaklarımda ağrı ayakta durmakta zorlanıyorum
Ortopedi,Kalçamda ağrı uzun süre oturamıyorum
Ortopedi,Belimde sürekli ağrı eğilmekte zorlanıyorum
Ortopedi,Kollarımda güç kaybı zor kalkıyorum
Ortopedi,Sırtımda sertlik düz durmak zor
Ortopedi,Ayaklarımda uyuşma yürüyemiyorum
Ortopedi,Boynumda ağrı hareket etmek zor
Ortopedi,Omuzumda ağrı başımı çeviremiyorum
Ortopedi,Dizimde ağrı oturmakta zorlanıyorum
Ortopedi,Bacaklarımda şişlik acı yapıyor
Ortopedi,Sırtımda kasılma sıklıkla ağrı oluyor
Ortopedi,Ayaklarımda ağrı uzun süre yürüyemiyorum
Ortopedi,Kalçamda ağrı basınca duyarlı
Ortopedi,Belimde ağrı ağır kaldırmak zor
Ortopedi,Ellerimde ağrı ve güçsüzlük
Ortopedi,Kollarımda ağrı dirseklerimde zorlanma hissediyorum
Ortopedi,Sırtımda ağrı bazen nefes almakta zorlanıyorum
Ortopedi,Ayaklarımda şişlik rahat edemiyorum
Ortopedi,Kalçamda ağrı basınca duyarlı
Ortopedi,Boynumda gerginlik zor hareket ediyorum
Üroloji,İdrar yaparken yanma hissediyorum
Üroloji,Sık sık idrara çıkıyorum
Üroloji,İdrarımda kan görüyorum
Üroloji,Mesanemde ağrı
Üroloji,İdrarımı tutamıyorum
Üroloji,İdrar yaparken zorlanıyorum
Üroloji,Gece sık sık idrara kalkıyorum
Üroloji,İdrar yaparken acı hissediyorum
Üroloji,Mesanemde sürekli doluluk hissi
Üroloji,Penisimde ağrı
Üroloji,Testislerimde ağrı hissediyorum
Üroloji,İdrarımda kötü koku
Üroloji,Mesanemde baskı hissi yaşıyorum
Üroloji,Prostat bölgemde rahatsızlık hissediyorum
Üroloji,İdrar yaptıktan sonra tam boşalamıyorum
Üroloji,Cinsel isteksizlik yaşıyorum
Üroloji,İdrar rengim çok koyu
Üroloji,İdrar yaparken yanma ve batma hissi
Üroloji,İdrarımı yapamıyorum tıkanma hissi
Üroloji,Penis ucunda ağrı hissediyorum
Üroloji,Mesanemde sıkışma hissi
Üroloji,İdrar yaparken ağrım artıyor
Üroloji,Gece idrara kalkma sıklığım arttı
Üroloji,Testislerimde şişlik
Üroloji,İdrar yaparken kesinti oluyor
Üroloji,Mesanemde sürekli ağrı
Üroloji,Penisimde hassasiyet hissediyorum
Üroloji,Cinsel ilişki sırasında ağrı hissediyorum
Üroloji,Prostat muayenesi gerektiğini düşünüyorum
Üroloji,İdrar yaparken yanma ve sık idrara çıkma
Üroloji,Mesanemde baskı hissi
Üroloji,Testislerde ele gelen kitle
Üroloji,İdrarım çok az miktarda geliyor
Üroloji,Gece idrara kalktığımda zorlanıyorum
Üroloji,İdrar yaptıktan sonra ağrım oluyor
Üroloji,Penisimde şişlik
Üroloji,Cinsel ilişki sırasında sertleşme problemi yaşıyorum
Üroloji,İdrar yaparken tazyik çok düşük
Üroloji,Mesanemde rahatsızlık hissi
Üroloji,Testislerde ağrı ve hassasiyet hissediyorum
Üroloji,İdrarımda bulanıklık
Üroloji,Penis ucunda kızarıklık oluştu
Üroloji,Mesanemde sürekli bir doluluk hissi
Üroloji,Gece sık sık idrara çıkma yaşıyorum
Üroloji,Testislerimde sürekli bir ağrı
Üroloji,İdrar yaparken sızı hissediyorum
Üroloji,İdrar tazyikim çok zayıf
Üroloji,Penis ucunda yara oluştu
Üroloji,Mesanemde doluluk hissi geçmiyor
Üroloji,Cinsel ilişki sırasında ağrı hissediyorum
Üroloji,Prostat bölgemde rahatsızlık hissi
Üroloji,İdrar yaparken kesilme oluyor
Üroloji,Testislerimde ele gelen şişlik
Üroloji,İdrarım kötü kokuyor
Üroloji,Penis ucunda kaşıntı
Üroloji,Mesanemde sürekli baskı hissediyorum
Üroloji,İdrar yaparken zorlanıyorum ve ağrı hissediyorum
Üroloji,Gece idrara kalkma sıklığım arttı
Üroloji,Testislerimde hassasiyet ve ağrı
Üroloji,İdrarımda kan
Üroloji,Penis ucunda yanma hissediyorum
Üroloji,Mesanemde sürekli rahatsızlık hissediyorum
Üroloji,İdrar yaptıktan sonra tamamen boşalmadığımı hissediyorum
Üroloji,Prostat bölgemde ağrı hissediyorum
Üroloji,Testislerimde batma hissi
Üroloji,Penisimde ağrı ve şişlik
Üroloji,İdrarım bulanık geliyor
Üroloji,Mesanemde ağrı ve baskı hissediyorum
Üroloji,Gece idrara çıkmam arttı
Üroloji,Testislerde ağrı ve şişlik hissediyorum
Üroloji,Cinsel ilişki sırasında ağrı hissediyorum
Üroloji,Prostat muayenesine ihtiyaç duyuyorum
Üroloji,Penis ucunda yara oluştu
Üroloji,Mesanemde doluluk hissi rahatsız ediyor
Üroloji,İdrar yaparken zorlanıyorum tıkanma hissi
Üroloji,Gece sık sık idrara kalkıyorum
Üroloji,Testislerimde rahatsızlık hissi
Üroloji,Penisimde hassasiyet oluştu
Üroloji,Mesanemde baskı hissediyorum rahat değilim
Üroloji,Prostat bölgemde rahatsızlık hissediyorum
Üroloji,Cinsel ilişki sırasında sertleşme problemi yaşıyorum
Üroloji,İdrarımda kötü koku rahatsız edici
Üroloji,Testislerde ağrı özellikle sağ tarafta
Üroloji,Penis ucunda yanma ve sızı
Üroloji,Mesanemde sürekli ağrı hissediyorum
Üroloji,İdrarımda kan görüyorum endişeliyim
Üroloji,Gece idrara kalkma sıklığım çok fazla
Üroloji,Testislerde ele gelen kitle ağrılı
Üroloji,İdrar yaparken çok acı çekiyorum
Üroloji,Penisimde kızarıklık ve şişlik
Üroloji,Mesanemde rahatsızlık ve ağrı hissi yaşıyorum
Üroloji,Cinsel ilişki sırasında ağrı hissediyorum
Göğüs Hastalıkları,Nefes alırken zorlanıyorum
Göğüs Hastalıkları,Sürekli öksürüyorum
Göğüs Hastalıkları,Göğsümde ağrı
Göğüs Hastalıkları,Nefes alırken hırıltı duyuyorum
Göğüs Hastalıkları,Gece öksürüğüm artıyor
Göğüs Hastalıkları,Nefes darlığı yaşıyorum
Göğüs Hastalıkları,Göğsümde sıkışma hissi
Göğüs Hastalıkları,Balgam çıkaramıyorum
Göğüs Hastalıkları,Nefes alırken göğsümde batma hissediyorum
Göğüs Hastalıkları,Çok çabuk yoruluyorum
Göğüs Hastalıkları,ciğerim ağrıyor
Göğüs Hastalıkları,Göğsümde baskı hissi
Göğüs Hastalıkları,Öksürükle birlikte balgam çıkarıyorum
Göğüs Hastalıkları,Sürekli nefes alma ihtiyacı hissediyorum
Göğüs Hastalıkları,Hapşırırken göğsüm ağrıyor
Göğüs Hastalıkları,Nefes alıp verirken zorlanıyorum
Göğüs Hastalıkları,Göğsümde yanma hissi
Göğüs Hastalıkları,Sabahları balgam çıkarıyorum
Göğüs Hastalıkları,Nefes alırken kesilme oluyor
Göğüs Hastalıkları,Derin nefes alınca göğsümde ağrı hissediyorum
Göğüs Hastalıkları,Öksürükle beraber göğsüm ağrıyor
Göğüs Hastalıkları,Nefes alırken ses çıkıyor
Göğüs Hastalıkları,Göğsümde daralma hissi yaşıyorum
Göğüs Hastalıkları,Gece nefes almakta zorlanıyorum
Göğüs Hastalıkları,Göğsümde gerginlik hissi
Göğüs Hastalıkları,Nefes alırken sırtıma ağrı vuruyor
Göğüs Hastalıkları,Solunumum hızlı ve düzensiz
Göğüs Hastalıkları,Hırıltılı nefes alıyorum
Göğüs Hastalıkları,Göğsümde sürekli rahatsızlık hissi
Göğüs Hastalıkları,Sürekli kuru öksürük yaşıyorum
Göğüs Hastalıkları,Derin nefes almakta zorlanıyorum
Göğüs Hastalıkları,Balgamım yeşil renkli
Göğüs Hastalıkları,Göğsümde ağırlık hissediyorum
Göğüs Hastalıkları,Nefes alırken ağrı hissediyorum
Göğüs Hastalıkları,Gece uyurken nefesim kesiliyor
Göğüs Hastalıkları,Sık sık nefes nefese kalıyorum
Göğüs Hastalıkları,Göğsümde yanıcı bir his
Göğüs Hastalıkları,Uzun süreli öksürük yaşıyorum
Göğüs Hastalıkları,Nefes alırken omuzlarıma ağrı vuruyor
Göğüs Hastalıkları,Hızlı nefes alıp veriyorum
Göğüs Hastalıkları,Göğsümde batıcı bir his
Göğüs Hastalıkları,Sabah kalktığımda öksürük başlıyor
Göğüs Hastalıkları,Nefes alırken tıkanma hissediyorum
Göğüs Hastalıkları,Göğsümde rahatsız edici bir basınç
Göğüs Hastalıkları,Öksürüğüm kuru ve sürekli
Göğüs Hastalıkları,Nefes alırken sürekli zorlanıyorum
Göğüs Hastalıkları,Göğsümde sancı
Göğüs Hastalıkları,Hapşırırken nefesim daralıyor
Göğüs Hastalıkları,Nefes alırken balgam geliyor
Göğüs Hastalıkları,Göğsümde sürekli ağrı hissediyorum
Göğüs Hastalıkları,Hırıltılı solunum yapıyorum
Göğüs Hastalıkları,Göğsümde sürekli baskı
Göğüs Hastalıkları,Nefes alırken omzumda ağrı hissediyorum
Göğüs Hastalıkları,Derin nefes almayı başaramıyorum
Göğüs Hastalıkları,Göğsümde sıkışma hissi artıyor
Göğüs Hastalıkları,Balgam çıkarırken zorlanıyorum
Göğüs Hastalıkları,Gece öksürüğüm hiç durmuyor
Göğüs Hastalıkları,Nefes alırken ciğerlerimde yanma hissediyorum
Göğüs Hastalıkları,Göğsümde sürekli doluluk hissi
Göğüs Hastalıkları,Sürekli balgamlı öksürüyorum
Göğüs Hastalıkları,Göğsümde zonklama hissediyorum
Göğüs Hastalıkları,Nefes alırken sırtımda batma hissediyorum
Göğüs Hastalıkları,Hapşırırken göğsüm sıkışıyor
Göğüs Hastalıkları,Nefes almakta güçlük çekiyorum
Göğüs Hastalıkları,Göğsümde uzun süredir devam eden bir ağrı
Göğüs Hastalıkları,Sürekli boğazımda balgam birikiyor
Göğüs Hastalıkları,Nefes alırken göğsümde rahatsızlık hissediyorum
Göğüs Hastalıkları,Göğsümde hafif ama sürekli bir ağrı
Göğüs Hastalıkları,Öksürdükçe göğsüm daha çok ağrıyor
Göğüs Hastalıkları,Balgam çıkaramıyorum boğazım dolu hissediyor
Göğüs Hastalıkları,Nefes alırken göğsümde kütürdeme duyuyorum
Göğüs Hastalıkları,Gece nefes darlığı yaşıyorum
Göğüs Hastalıkları,Sürekli göğsümde baskı hissediyorum
Göğüs Hastalıkları,Hapşırırken sırtıma ağrı vuruyor
Göğüs Hastalıkları,Derin nefes aldığımda göğsüm ağrıyor
Göğüs Hastalıkları,Sürekli boğaz temizleme ihtiyacı hissediyorum
Göğüs Hastalıkları,Göğsümde rahatsız edici bir his
Göğüs Hastalıkları,Nefes alırken ciğerlerimde batma hissediyorum
Göğüs Hastalıkları,Göğsümde ağırlık hissi artıyor
Göğüs Hastalıkları,Nefes almakta zorlanıyorum ve sıkışıyorum
Göğüs Hastalıkları,Hapşırırken göğsümde ağrı oluyor
Göğüs Hastalıkları,Göğsümde sürekli baskı hissediyorum
Göğüs Hastalıkları,Nefes alırken balgam birikiyor
Göğüs Hastalıkları,Göğsümde batma hissi geçmiyor
Göğüs Hastalıkları,Gece öksürükle uyanıyorum
Göğüs Hastalıkları,Göğsümde sürekli yanma hissi
Göğüs Hastalıkları,Nefes alırken zorlanıyor ve yoruluyorum
Göğüs Hastalıkları,Göğsümde sürekli bir rahatsızlık hissi
Göğüs Hastalıkları,Nefes alırken ağrı hissediyorum
Göğüs Hastalıkları,Balgamım zor çıkıyor ve rahatsız ediyor
Onkoloji,Boynumda sert bir kitle fark ettim
Onkoloji,Kolumda sürekli büyüyen bir şişlik
Onkoloji,Son zamanlarda açıklanamayan kilo kaybı yaşıyorum
Onkoloji,Sürekli yorgun ve halsiz hissediyorum
Onkoloji,Cildimde belirgin bir renk değişikliği fark ettim
Onkoloji,Meme ucumda akıntı ve hassasiyet oluştu
Onkoloji,karnım bölgemde sürekli bir dolgunluk hissediyorum
Onkoloji,Dışkımda kan fark ettim
Onkoloji,Geceleri terleme şikayetim arttı
Onkoloji,Sürekli tekrarlayan bir baş ağrım
Onkoloji,Cildimde iyileşmeyen bir yara oluştu
Onkoloji,Yutkunurken boğazımda takılma hissi yaşıyorum
Onkoloji,Göğsümde ele gelen bir sertlik fark ettim
Onkoloji,Koltuk altımda ağrılı bir şişlik hissediyorum
Onkoloji,Uzun süredir geçmeyen bir öksürüğüm
Onkoloji,İdrar yaparken zorlanıyorum ve kan fark ettim
Onkoloji,Kemiklerimde sebebini bilmediğim ağrılar yaşıyorum
Onkoloji,Karnımda şişkinlik ve rahatsızlık hissediyorum
Onkoloji,Dudaklarımda iyileşmeyen bir yara oluştu
Onkoloji,Lenf bezlerimde ağrısız bir büyüme
Onkoloji,Açıklanamayan şekilde sürekli ateşim çıkıyor
Onkoloji,Cildimde kalınlaşan ve koyulaşan bir ben fark ettim
Onkoloji,Kemiklerim kolayca kırılıyor
Onkoloji,Nefes alırken göğsümde baskı hissediyorum
Onkoloji,Sürekli iştahsızlık yaşıyorum
Onkoloji,Dudaklarımda ve dilimde beyaz plaklar oluştu
Onkoloji,karnım bölgemde ele gelen bir sertlik
Onkoloji,Kürek kemiğimde sürekli ağrı hissediyorum
Onkoloji,Cildimde sıvı dolu bir kabarcık iyileşmiyor
Onkoloji,Gözlerimde sarı renk fark ettim
Onkoloji,Kasık bölgemde ele gelen bir kitle
Onkoloji,İki haftadır sesim kısılıyor ve düzelmiyor
Onkoloji,Kemoterapi sonrası mide bulantısı ve halsizlik yaşıyorum
Onkoloji,Göğsümde büyüyen bir kitle fark ettim
Onkoloji,Ateşim çıktı ve vücudumda döküntüler oluştu
Onkoloji,Bağırsak hareketlerimde ani değişiklikler fark ettim
Onkoloji,Kafamda ağrısız bir şişlik fark ettim
Onkoloji,Gözümde sürekli bir kararma ve bulanıklık
Onkoloji,Nefes alırken hırıltılı bir ses duyuyorum
Onkoloji,Boynumdaki kitle ağrısız ama büyümeye devam ediyor
Onkoloji,Cildimde hızla büyüyen bir yara
Onkoloji,Yutkunurken boğazımda batma hissi oluşuyor
Onkoloji,Dışkım siyah ve katran gibi
Onkoloji,Karnımın sol alt tarafında sürekli ağrı
Onkoloji,Kolumda renk değiştiren bir ben fark ettim
Onkoloji,Cildimde kanayan bir ben iyileşmiyor
Onkoloji,Sürekli kusma ve mide ağrısı yaşıyorum
Onkoloji,Uzun süreli kansızlık tedavisi görüyorum
Onkoloji,Kemoterapi sonrası enfeksiyon riski taşıyorum
Onkoloji,Saçlarımda hızlı dökülme fark ettim
Onkoloji,Kemiklerimde ani ve şiddetli ağrılar başladı
Onkoloji,Karaciğerimde büyüme hissi
Onkoloji,Göğsümde sert hareket etmeyen bir kitle
